,total_bitcoins
2048-05-31,20932394.03234086
2048-06-07,20932443.161255132
2048-06-14,20932492.290169407
2048-06-21,20932541.419083677
2048-06-28,20932590.547997948
2048-07-05,20932639.67691222
2048-07-12,20932688.80582649
2048-07-19,20932737.93474076
2048-07-26,20932787.06365503
2048-08-02,20932836.192569304
2048-08-09,20932885.321483575
2048-08-16,20932934.450397845
2048-08-23,20932983.579312116
2048-08-30,20933032.708226386
2048-09-06,20933081.837140657
2048-09-13,20933130.966054928
2048-09-20,20933180.0949692
2048-09-27,20933229.223883472
2048-10-04,20933278.352797743
2048-10-11,20933327.481712013
2048-10-18,20933376.610626284
2048-10-25,20933425.739540555
2048-11-01,20933474.868454825
2048-11-08,20933523.9973691
2048-11-15,20933573.12628337
2048-11-22,20933622.25519764
2048-11-29,20933671.38411191
2048-12-06,20933720.51302618
2048-12-13,20933769.641940452
2048-12-20,20933818.770854723
2048-12-27,20933867.899768997
2049-01-03,20933917.028683268
2049-01-10,20933966.157597538
2049-01-17,20934015.28651181
2049-01-24,20934064.41542608
2049-01-31,20934113.54434035
2049-02-07,20934162.67325462
2049-02-14,20934211.802168895
2049-02-21,20934260.931083165
2049-02-28,20934310.059997436
2049-03-07,20934359.188911706
2049-03-14,20934408.317825977
2049-03-21,20934457.446740247
2049-03-28,20934506.575654518
2049-04-04,20934555.704568792
2049-04-11,20934604.833483063
2049-04-18,20934653.96239733
2049-04-25,20934703.091311604
2049-05-02,20934752.220225874
2049-05-09,20934801.34914014
2049-05-16,20934850.47805441
2049-05-23,20934899.60696869
2049-05-30,20934948.73588296
2049-06-06,20934997.864797227
2049-06-13,20935046.993711498
2049-06-20,20935096.12262577
2049-06-27,20935145.25154004
2049-07-04,20935194.38045431
2049-07-11,20935243.50936858
2049-07-18,20935292.638282854
2049-07-25,20935341.767197125
2049-08-01,20935390.896111395
2049-08-08,20935440.025025666
2049-08-15,20935489.153939936
2049-08-22,20935538.282854207
2049-08-29,20935587.411768477
