Date,total_bitcoins
2022-06-05,19060416.666666668
2022-06-12,19066796.875
2022-06-19,19073177.083333332
2022-06-26,19079557.291666668
2022-07-03,19085937.5
2022-07-10,19092317.708333332
2022-07-17,19098697.916666668
2022-07-24,19105078.125
2022-07-31,19111458.333333332
2022-08-07,19117838.541666668
2022-08-14,19124218.75
2022-08-21,19130598.958333332
2022-08-28,19136979.166666668
2022-09-04,19143359.375
2022-09-11,19149739.583333332
2022-09-18,19156119.791666668
2022-09-25,19162500.0
2022-10-02,19168880.208333332
2022-10-09,19175260.416666664
2022-10-16,19181640.625
2022-10-23,19188020.833333336
2022-10-30,19194401.041666664
2022-11-06,19200781.25
2022-11-13,19207161.458333336
2022-11-20,19213541.666666664
2022-11-27,19219921.875
2022-12-04,19226302.083333336
2022-12-11,19232682.291666664
2022-12-18,19239062.5
2022-12-25,19245442.708333336
2023-01-01,19251822.916666664
2023-01-08,19258203.125
2023-01-15,19264583.333333336
2023-01-22,19270963.541666664
2023-01-29,19277343.75
2023-02-05,19283723.958333336
2023-02-12,19290104.166666664
2023-02-19,19296484.375
2023-02-26,19302864.583333336
2023-03-05,19309244.791666664
2023-03-12,19315625.0
2023-03-19,19322005.208333336
2023-03-26,19328385.416666664
2023-04-02,19334765.625
2023-04-09,19341145.833333336
2023-04-16,19347526.041666664
2023-04-23,19353906.25
2023-04-30,19360286.458333336
2023-05-07,19366666.666666664
2023-05-14,19373046.875
2023-05-21,19379427.083333336
2023-05-28,19385807.291666664
2023-06-04,19392187.5
2023-06-11,19398567.708333336
2023-06-18,19404947.916666664
2023-06-25,19411328.125
2023-07-02,19417708.333333336
2023-07-09,19424088.541666664
2023-07-16,19430468.75
2023-07-23,19436848.958333336
2023-07-30,19443229.166666664
2023-08-06,19449609.375
2023-08-13,19455989.583333336
2023-08-20,19462369.791666664
2023-08-27,19468750.0
2023-09-03,19475130.208333336
2023-09-10,19481510.416666664
2023-09-17,19487890.625
2023-09-24,19494270.833333336
2023-10-01,19500651.041666664
2023-10-08,19507031.25
2023-10-15,19513411.458333336
2023-10-22,19519791.666666664
2023-10-29,19526171.875
2023-11-05,19532552.083333336
2023-11-12,19538932.291666664
2023-11-19,19545312.5
2023-11-26,19551692.708333336
2023-12-03,19558072.916666664
2023-12-10,19564453.125
2023-12-17,19570833.333333336
2023-12-24,19577213.541666664
2023-12-31,19583593.75
2024-01-07,19589973.958333336
2024-01-14,19596354.166666664
2024-01-21,19602734.375
2024-01-28,19609114.583333336
2024-02-04,19615494.791666664
2024-02-11,19621875.0
2024-02-18,19628255.208333336
2024-02-25,19634635.416666664
2024-03-03,19641015.625
2024-03-10,19647395.833333336
2024-03-17,19653776.041666664
2024-03-24,19660156.25
2024-03-31,19666536.458333336
2024-04-07,19672916.666666664
2024-04-14,19679296.875
2024-04-21,19685609.2502495
2024-04-28,19689683.133732535
2024-05-05,19692739.520958085
2024-05-12,19695795.908183634
2024-05-19,19698852.29540918
2024-05-26,19701908.68263473
2024-06-02,19704965.06986028
2024-06-09,19708021.45708583
